,e1,r,e2,0,1,2
82,probe,can_analyze,network vulnerabilities,probe,can_analyze,network vulnerabilities
83,users,uses,personal,users,uses,personal
84,Nmap,uses,scan,Nmap,uses,scan
85,web server,has_a,hosting,web server,has_a,hosting
86,hosting,can_analyze,website,hosting,can_analyze,website
87,hacker,uses,process,hacker,uses,process
88,process,can_detect,attack,process,can_detect,attack
89,Attacking,can_harm,site,Attacking,can_harm,site
90,site,can_expose,security vulnerabilities,site,can_expose,security vulnerabilities
91,system admins,implements,programs,system admins,implements,programs
92,tools,has_a,program,tools,has_a,program
93,network monitoring,has_a,tools,network monitoring,has_a,tools
94,Nmap,is_part_of,command-line interfaces,Nmap,is_part_of,command-line interfaces
95,scripts,has_a,automate,scripts,has_a,automate
96,target,has_a,IP address,target,has_a,IP address
97,open,can_analyze,operating system,open,can_analyze,operating system
98,operating system,has_a,TCP,operating system,has_a,TCP
99,three-way handshake,has_a,port scanner,three-way handshake,has_a,port scanner
100,port scanner,has_a,connection,port scanner,has_a,connection
101,connection,can_detect,DOS,connection,can_detect,DOS
102,log,can_analyze,sender,log,can_analyze,sender
103,sender,has_a,IP address,sender,has_a,IP address
104,IP address,is_part_of,Intrusion Detection Systems,IP address,is_part_of,Intrusion Detection Systems
105,3-way handshake,can_analyze,scanned,3-way handshake,can_analyze,scanned
106,Sends,has_a,SYN,Sends,has_a,SYN
107,sending,has_a,ACK,sending,has_a,ACK
108,connection,can_analyze,FIN packets,connection,can_analyze,FIN packets
109,closed,can_analyze,sender,closed,can_analyze,sender
110,received,has_a,response,received,has_a,response
111,response,can_analyze,RESET packet,response,can_analyze,RESET packet
112,incoming,can_analyze,UDP packet,incoming,can_analyze,UDP packet
113,reveal,can_detect,Trojan horses,reveal,can_detect,Trojan horses
114,high UDP ports,can_analyze,hidden RPC services,high UDP ports,can_analyze,hidden RPC services
115,machines,has_a,slow down responses,machines,has_a,slow down responses
116,slow down responses,can_analyze,traffic,slow down responses,can_analyze,traffic
117,Windows OS,has_a,slowdown feature,Windows OS,has_a,slowdown feature
118,target system,uses,ICMP Port Unreachable message,target system,uses,ICMP Port Unreachable message
119,send,has_a,response,send,has_a,response
120,response,is_part_of,Nmap,response,is_part_of,Nmap
121,Nmap,has_a,time out,Nmap,has_a,time out
122,Closed ports,can_analyze,ICMP port unreachable error,Closed ports,can_analyze,ICMP port unreachable error
123,host-timeout,can_analyze,slow hosts,host-timeout,can_analyze,slow hosts
124,chill out,is_part_of,Nmap,chill out,is_part_of,Nmap
125,port scanner,can_analyze,raw IP packets,port scanner,can_analyze,raw IP packets
126,port scanner,can_analyze,SYN packet,port scanner,can_analyze,SYN packet
127,respond,can_analyze,SYN-ACK packet,respond,can_analyze,SYN-ACK packet
128,scanner,can_analyze,host,scanner,can_analyze,host
129,host,has_a,responds,host,has_a,responds
130,responds,can_analyze,RST packet,responds,can_analyze,RST packet
131,unfiltered,can_analyze,target,unfiltered,can_analyze,target
132,target,has_a,respond,target,has_a,respond
133,respond,can_analyze,RST packet,respond,can_analyze,RST packet
134,scan,can_detect,intrusive,scan,can_detect,intrusive
135,intrusive,can_harm,target host,intrusive,can_harm,target host
136,receive,has_a,connection,receive,has_a,connection
137,Attacker,uses,RESET RST,Attacker,uses,RESET RST
138,established,can_analyze,target,established,can_analyze,target
139,log,has_a,connection,log,has_a,connection
140,closed,can_analyze,destination,closed,can_analyze,destination
141,destination,has_a,RESET,destination,has_a,RESET
142,SYN flood,is_part_of,accidental,SYN flood,is_part_of,accidental
143,accidental,is_part_of,denial-of-service attacks,accidental,is_part_of,denial-of-service attacks
144,denial-of-service attacks,can_harm,target,denial-of-service attacks,can_harm,target
145,target,has_a,slow,target,has_a,slow
146,sends,can_analyze,TCP FIN packet,sends,can_analyze,TCP FIN packet
147,negatives,is_part_of,IDS,negatives,is_part_of,IDS
148,IDS,has_a,programs,IDS,has_a,programs
149,probe,has_a,firewall,probe,has_a,firewall
150,firewall,has_a,rulesets,firewall,has_a,rulesets
151,established connections,can_analyze,packets ACK bit,established connections,can_analyze,packets ACK bit
152,stateful,is_part_of,firewall,stateful,is_part_of,firewall
153,attacker,uses,packet filtering,attacker,uses,packet filtering
154,attacker,uses,established connections,attacker,uses,established connections
155,established connections,is_part_of,firewall,established connections,is_part_of,firewall
156,firewall,can_analyze,router,firewall,can_analyze,router
157,network,has_a,ports,network,has_a,ports
158,ports,is_part_of,firewall,ports,is_part_of,firewall
159,firewall,has_a,established connection,firewall,has_a,established connection
160,response,can_analyze,ICMP Port Unreachable message,response,can_analyze,ICMP Port Unreachable message
161,Nmap,has_a,target port,Nmap,has_a,target port
162,non-Windows servers,has_a,firewall,non-Windows servers,has_a,firewall
163,Windows machines,has_a,respond,Windows machines,has_a,respond
164,flags,can_analyze,packet,flags,can_analyze,packet
165,Remote Procedure Call,can_analyze,services,Remote Procedure Call,can_analyze,services
166,remote commands,can_analyze,machine,remote commands,can_analyze,machine
167,machine,has_a,service,machine,has_a,service
168,RPC services,has_a,ports,RPC services,has_a,ports
169,open,can_analyze,machine,open,can_analyze,machine
170,program,has_a,name,program,has_a,name
171,RPC services,has_a,open,RPC services,has_a,open
172,TCP/UDP ports,can_analyze,target,TCP/UDP ports,can_analyze,target
173,program,has_a,listening,program,has_a,listening
174,host,has_a,requirements,host,has_a,requirements
175,IP address,can_analyze,zombie host,IP address,can_analyze,zombie host
176,zombie host,has_a,port number,zombie host,has_a,port number
177,Nmap,can_detect,malicious attacks,Nmap,can_detect,malicious attacks
178,zombie,has_a,IP ID,zombie,has_a,IP ID
179,IP ID,can_analyze,Forge,IP ID,can_analyze,Forge
180,zombie,has_a,port,zombie,has_a,port
181,port,can_analyze,target,port,can_analyze,target
182,port state,can_analyze,target,port state,can_analyze,target
183,IP ID,can_analyze,target,IP ID,can_analyze,target
184,target,has_a,port state,target,has_a,port state
185,NSE,is_part_of,Nmap Scripting Engine,NSE,is_part_of,Nmap Scripting Engine
186,Nmap scripts,has_a,default,Nmap scripts,has_a,default
187,default,is_part_of,Nmap,default,is_part_of,Nmap
188,Nmap,has_a,features,Nmap,has_a,features
189,features,is_part_of,Nmap,features,is_part_of,Nmap
190,Nmap,has_a,output,Nmap,has_a,output
191,Nmap,has_a,default,Nmap,has_a,default
192,Nmap,can_analyze,target,Nmap,can_analyze,target
193,scanning,has_a,Nmap,scanning,has_a,Nmap
194,Nmap,can_analyze,data,Nmap,can_analyze,data
195,run,has_a,services,run,has_a,services
196,services,can_analyze,remote host,services,can_analyze,remote host
197,run,can_analyze,web servers,run,can_analyze,web servers
198,scripts,has_a,broadcast,scripts,has_a,broadcast
199,broadcast,can_analyze,intel,broadcast,can_analyze,intel
200,scripts,can_detect,brute force attacks,scripts,can_detect,brute force attacks
201,dos script,can_detect,Denial of service attack,dos script,can_detect,Denial of service attack
202,perform,can_detect,DOS,perform,can_detect,DOS
203,DOS,is_part_of,floods,DOS,is_part_of,floods
204,service exploitation,can_analyze,CVEs,service exploitation,can_analyze,CVEs
205,Scripts,can_analyze,3rd party services,Scripts,can_analyze,3rd party services
206,3rd party services,uses,data,3rd party services,uses,data
207,perform,can_detect,fuzzing attacks,perform,can_detect,fuzzing attacks
208,fuzzing attacks,can_harm,apps,fuzzing attacks,can_harm,apps
209,intrusive script,has_a,aggressive,intrusive script,has_a,aggressive
210,scripts,has_a,network noise,scripts,has_a,network noise
211,safe script,has_a,Safe,safe script,has_a,Safe
212,version script,can_analyze,OS,version script,can_analyze,OS
213,Nmap,can_analyze,vuln,Nmap,can_analyze,vuln
214,Nmap,has_a,run,Nmap,has_a,run
215,scripts,has_a,FTP,scripts,has_a,FTP
216,brute force,has_a,password,brute force,has_a,password
217,NSE,has_a,scripts,NSE,has_a,scripts
218,scripts,has_a,locally,scripts,has_a,locally
219,locally,can_analyze,operating system,locally,can_analyze,operating system
220,Firewall,is_part_of,Intrusion Prevention Systems IPS,Firewall,is_part_of,Intrusion Prevention Systems IPS
221,Intrusion Prevention Systems IPS,is_part_of,Intrusion Detection Systems IDS,Intrusion Prevention Systems IPS,is_part_of,Intrusion Detection Systems IDS
222,Intrusion Detection Systems IDS,has_a,configure,Intrusion Detection Systems IDS,has_a,configure
223,IPS security,has_a,Firewall,IPS security,has_a,Firewall
224,cybercriminals,implements,hack,cybercriminals,implements,hack
225,scanning,can_analyze,weaknesses,scanning,can_analyze,weaknesses
226,blocked,is_part_of,portmapper,blocked,is_part_of,portmapper
227,portmapper,has_a,port,portmapper,has_a,port
228,port,is_part_of,Nmap,port,is_part_of,Nmap
229,Nmap,uses,RPC scanning,Nmap,uses,RPC scanning
230,firewalls,can_analyze,devices,firewalls,can_analyze,devices
231,evading,has_a,IDS,evading,has_a,IDS
232,IDS,uses,Product evaluation,IDS,uses,Product evaluation
233,attackers,uses,Nmap,attackers,uses,Nmap
234,Nmap,has_a,flag,Nmap,has_a,flag
235,flag,can_analyze,system,flag,can_analyze,system
236,system,has_a,protection,system,has_a,protection
237,Pentesting tools,is_part_of,Nmap,Pentesting tools,is_part_of,Nmap
238,Nmap,is_part_of,Metasploit,Nmap,is_part_of,Metasploit
239,Metasploit,uses,evading,Metasploit,uses,evading
240,sneaking past,has_a,IDSs,sneaking past,has_a,IDSs
241,attackers,can_exploit,security holes,attackers,can_exploit,security holes
242,firewall rule,can_analyze,setup,firewall rule,can_analyze,setup
243,setup,has_a,IDS system,setup,has_a,IDS system
244,system admin,can_analyze,iptables,system admin,can_analyze,iptables
245,snort rules,can_analyze,setup,snort rules,can_analyze,setup
246,iptables,is_part_of,snort,iptables,is_part_of,snort
247,snort,can_analyze,system,snort,can_analyze,system
248,system,can_expose,weakness,system,can_expose,weakness
249,pen tester,can_analyze,iptables,pen tester,can_analyze,iptables
250,iptables,has_a,snort,iptables,has_a,snort
251,snort,has_a,configurations,snort,has_a,configurations
252,configurations,can_analyze,networking system setup,configurations,can_analyze,networking system setup
253,pen tester,uses,monitor,pen tester,uses,monitor
254,pen tester,uses,explore,pen tester,uses,explore
255,explore,can_analyze,vulnerabilities,explore,can_analyze,vulnerabilities
256,System configurations,is_part_of,firewall,System configurations,is_part_of,firewall
257,firewall,can_analyze,setup,firewall,can_analyze,setup
258,setup,has_a,open,setup,has_a,open
259,ports,can_analyze,services,ports,can_analyze,services
260,nodes,has_a,firewall,nodes,has_a,firewall
261,firewall,uses,performance measurements,firewall,uses,performance measurements
262,IDS,can_analyze,setup,IDS,can_analyze,setup
263,setup,has_a,detection threshold setup,setup,has_a,detection threshold setup
264,detection threshold setup,can_detect,attack scenarios,detection threshold setup,can_detect,attack scenarios
265,pen tester,uses,assess,pen tester,uses,assess
266,security performance,has_a,firewall,security performance,has_a,firewall
267,firewall,is_part_of,IDS,firewall,is_part_of,IDS
268,IDS,uses,detect,IDS,uses,detect
269,deployed,can_detect,attacks,deployed,can_detect,attacks
270,pen tester,can_detect,configuration vulnerabilities,pen tester,can_detect,configuration vulnerabilities
271,pen tester,uses,pentest,pen tester,uses,pentest
272,template,is_part_of,firewall,template,is_part_of,firewall
273,IDS,has_a,rules,IDS,has_a,rules
274,assessing,has_a,firewall,assessing,has_a,firewall
275,security,has_a,firewall,security,has_a,firewall
276,resolve,can_analyze,vulnerable issues,resolve,can_analyze,vulnerable issues
277,pen tester,can_analyze,client VM,pen tester,can_analyze,client VM
278,client VM,has_a,Nmap,client VM,has_a,Nmap
279,Nmap,is_part_of,hping3,Nmap,is_part_of,hping3
280,hping3,is_part_of,MSF Metasploit framework,hping3,is_part_of,MSF Metasploit framework
281,MSF Metasploit framework,is_part_of,tcpdump,MSF Metasploit framework,is_part_of,tcpdump
282,tools,has_a,testing,tools,has_a,testing
283,tools,is_part_of,ping,tools,is_part_of,ping
284,ping,is_part_of,traceroute,ping,is_part_of,traceroute
285,traceroute,is_part_of,nmap,traceroute,is_part_of,nmap
286,nmap,is_part_of,hpings,nmap,is_part_of,hpings
287,hpings,is_part_of,msfconsole,hpings,is_part_of,msfconsole
288,msfconsole,can_analyze,client node,msfconsole,can_analyze,client node
289,run,can_analyze,iptables,run,can_analyze,iptables
290,iptables,has_a,firewall,iptables,has_a,firewall
291,firewall,is_part_of,snort,firewall,is_part_of,snort
292,snort,has_a,protect,snort,has_a,protect
293,protect,can_analyze,server node,protect,can_analyze,server node
294,snort,can_analyze,configuration files,snort,can_analyze,configuration files
295,iptables,uses,configuration files,iptables,uses,configuration files
296,snort rule,can_analyze,files,snort rule,can_analyze,files
297,reset,can_analyze,interfaces,reset,can_analyze,interfaces
298,interfaces,has_a,IP addresses,interfaces,has_a,IP addresses
299,default,can_analyze,VM,default,can_analyze,VM
300,Metasploitable 2,can_expose,vulnerable,Metasploitable 2,can_expose,vulnerable
301,snort,is_part_of,Nmap,snort,is_part_of,Nmap
302,Metasploit,can_analyze,security services,Metasploit,can_analyze,security services
303,security services,has_a,tools,security services,has_a,tools
304,Iptables,is_part_of,firewall,Iptables,is_part_of,firewall
305,firewall,is_part_of,Snort IDS,firewall,is_part_of,Snort IDS
306,deploy,can_detect,attacks,deploy,can_detect,attacks
307,exploit,can_analyze,vulnerabilities,exploit,can_analyze,vulnerabilities
308,service,has_a,access,service,has_a,access
309,access,is_part_of,command shell,access,is_part_of,command shell
310,command shell,can_analyze,data,command shell,can_analyze,data
311,service,has_a,parameters,service,has_a,parameters
312,critical,can_analyze,data,critical,can_analyze,data
313,system configuration,can_analyze,setup,system configuration,can_analyze,setup
314,identify,can_analyze,vulnerability,identify,can_analyze,vulnerability
315,Metasploit,uses,explore,Metasploit,uses,explore
316,explore,can_analyze,vulnerability,explore,can_analyze,vulnerability
317,Subverting,has_a,Firewalls,Subverting,has_a,Firewalls
318,Firewalls,is_part_of,Intrusion Detection Systems,Firewalls,is_part_of,Intrusion Detection Systems
319,scans,has_a,firewall,scans,has_a,firewall
320,firewall,has_a,reset,firewall,has_a,reset
321,firewall rules,has_a,blacklist,firewall rules,has_a,blacklist
322,Nmap,is_part_of,Metasploit Framework,Nmap,is_part_of,Metasploit Framework
323,Metasploit Framework,can_analyze,Client,Metasploit Framework,can_analyze,Client
324,Gateway,has_a,firewall,Gateway,has_a,firewall
325,firewall,uses,defend,firewall,uses,defend
326,scan,can_detect,attack,scan,can_detect,attack
327,tcpdump,uses,monitor,tcpdump,uses,monitor
328,ports,can_analyze,gateway,ports,can_analyze,gateway
329,TCP protocol,can_analyze,systems,TCP protocol,can_analyze,systems
330,systems,has_a,RFC 793,systems,has_a,RFC 793
331,connection requests,can_analyze,TCP RST reset packet,connection requests,can_analyze,TCP RST reset packet
332,ports,is_part_of,Nmap,ports,is_part_of,Nmap
333,Filtering,can_analyze,devices,Filtering,can_analyze,devices
334,devices,has_a,firewalls,devices,has_a,firewalls
335,firewalls,can_analyze,packets,firewalls,can_analyze,packets
336,Nmap,has_a,reliably,Nmap,has_a,reliably
337,closed,can_analyze,target,closed,can_analyze,target
338,target,has_a,RFC 793,target,has_a,RFC 793
339,Firewalls,has_a,block,Firewalls,has_a,block
340,firewall,has_a,response,firewall,has_a,response
341,response,can_analyze,ICMP destination unreachable error,response,can_analyze,ICMP destination unreachable error
342,Nmap,can_analyze,ACK packets,Nmap,can_analyze,ACK packets
343,filtered ports,is_part_of,Nmap,filtered ports,is_part_of,Nmap
344,Nmap,uses,ACK scan,Nmap,uses,ACK scan
345,Stateless,is_part_of,firewall,Stateless,is_part_of,firewall
346,firewall,has_a,block,firewall,has_a,block
347,incoming,can_analyze,SYN packets,incoming,can_analyze,SYN packets
348,Blocking,can_analyze,ACK packets,Blocking,can_analyze,ACK packets
349,block,can_detect,unsolicited,block,can_detect,unsolicited
350,unsolicited,can_harm,ACK packets,unsolicited,can_harm,ACK packets
351,firewalls,has_a,statefully,firewalls,has_a,statefully
352,iptables,is_part_of,firewall,iptables,is_part_of,firewall
353,firewall,has_a,rules,firewall,has_a,rules
354,rules,has_a,stateful,rules,has_a,stateful
355,stateful,is_part_of,firewalls,stateful,is_part_of,firewalls
356,firewalls,has_a,secure,firewalls,has_a,secure
357,firewall,has_a,reboot,firewall,has_a,reboot
358,reboot,can_analyze,device,reboot,can_analyze,device
359,device,has_a,state,device,has_a,state
360,Nmap,uses,scans,Nmap,uses,scans
361,Nmap,has_a,outputs,Nmap,has_a,outputs
362,Systems,has_a,TCP protocol,Systems,has_a,TCP protocol
363,deny-by-default,is_part_of,firewall,deny-by-default,is_part_of,firewall
364,firewall,has_a,policy,firewall,has_a,policy
365,responses,is_part_of,firewall,responses,is_part_of,firewall
366,ACK scan,can_analyze,TCP packets,ACK scan,can_analyze,TCP packets
367,RFC 793,can_analyze,RST packet,RFC 793,can_analyze,RST packet
368,stateless,is_part_of,firewall,stateless,is_part_of,firewall
369,firewall,has_a,policies,firewall,has_a,policies
370,policies,can_analyze,setup,policies,can_analyze,setup
371,port,can_analyze,machine,port,can_analyze,machine
372,machine,uses,network traffic,machine,uses,network traffic
373,machine,has_a,IP ID,machine,has_a,IP ID
374,Windows XP,has_a,Nping,Windows XP,has_a,Nping
375,Nping,can_analyze,SYN packets,Nping,can_analyze,SYN packets
376,flooding,can_harm,host,flooding,can_harm,host
377,address,is_part_of,nping,address,is_part_of,nping
378,nping,can_analyze,node,nping,can_analyze,node
379,addresses,is_part_of,firewall,addresses,is_part_of,firewall
380,source,has_a,address,source,has_a,address
381,netblocks,has_a,firewall,netblocks,has_a,firewall
382,firewall,has_a,blocked,firewall,has_a,blocked
383,UDP,can_analyze,applications,UDP,can_analyze,applications
384,applications,uses,packets,applications,uses,packets
385,scanner,has_a,port,scanner,has_a,port
386,Nmap,uses,port scanning,Nmap,uses,port scanning
387,Nmap,can_analyze,source,Nmap,can_analyze,source
388,source,has_a,port,source,has_a,port
389,port,can_analyze,source,port,can_analyze,source
390,source,has_a,ports,source,has_a,ports
391,ports,can_analyze,transmitted packets,ports,can_analyze,transmitted packets
392,intrusion detection systems,is_part_of,intrusion prevention systems,intrusion detection systems,is_part_of,intrusion prevention systems
393,network,has_a,IDS,network,has_a,IDS
394,IDS,has_a,triggered packet responses,IDS,has_a,triggered packet responses
395,IPS systems,can_analyze,network,IPS systems,can_analyze,network
396,network,has_a,packet flow,network,has_a,packet flow
397,packet flow,can_analyze,suspicious activity,packet flow,can_analyze,suspicious activity
398,IPS,has_a,block,IPS,has_a,block
399,block,can_analyze,traffic,block,can_analyze,traffic
400,port scanned,can_detect,buffer overflow exploit,port scanned,can_detect,buffer overflow exploit
401,Attackers,uses,port scan,Attackers,uses,port scan
402,system,has_a,open ports,system,has_a,open ports
403,Attackers,uses,blocked,Attackers,uses,blocked
404,IDS,has_a,flagged,IDS,has_a,flagged
405,IDSs,can_analyze,network,IDSs,can_analyze,network
406,network,can_expose,forge,network,can_expose,forge
407,packets,can_expose,forged,packets,can_expose,forged
408,scanning,can_detect,Packet Forgery,scanning,can_detect,Packet Forgery
409,Firewall,is_part_of,Intrusion Detection Systems,Firewall,is_part_of,Intrusion Detection Systems
410,system,uses,packets,system,uses,packets
411,icmp-host-prohibited,can_analyze,ICMP error message,icmp-host-prohibited,can_analyze,ICMP error message
412,rules,has_a,TCP protocol,rules,has_a,TCP protocol
413,broken,can_analyze,mail hosts,broken,can_analyze,mail hosts
414,Forging,can_harm,RST packets,Forging,can_harm,RST packets
415,firewalls,is_part_of,IDS,firewalls,is_part_of,IDS
416,IDS,is_part_of,IPS,IDS,is_part_of,IPS
417,IPS,has_a,port 113,IPS,has_a,port 113
418,network operators,uses,scanners,network operators,uses,scanners
419,scanners,has_a,port,scanners,has_a,port
420,timeout,can_analyze,dropped packets,timeout,can_analyze,dropped packets
421,detect,has_a,IDSs,detect,has_a,IDSs
422,IDSs,can_analyze,suspicious,IDSs,can_analyze,suspicious
423,machines,has_a,traceroutes,machines,has_a,traceroutes
424,operating systems,has_a,traceroute,operating systems,has_a,traceroute
425,traceroute,has_a,command,traceroute,has_a,command
426,Nmap,is_part_of,traceroute,Nmap,is_part_of,traceroute
427,inline,is_part_of,IDSs,inline,is_part_of,IDSs
428,IDSs,has_a,passively,IDSs,has_a,passively
429,Nmap,has_a,ping,Nmap,has_a,ping
430,commands,can_analyze,information,commands,can_analyze,information
431,detected,has_a,IDS,detected,has_a,IDS
432,IDS,is_part_of,snort,IDS,is_part_of,snort
433,snort,uses,detect,snort,uses,detect
434,slow down,can_analyze,DNS proxying,slow down,can_analyze,DNS proxying
435,deploy,can_analyze,testing environment,deploy,can_analyze,testing environment
436,snort,has_a,rules,snort,has_a,rules
437,Nmap,uses,scanning,Nmap,uses,scanning
438,Nmap,has_a,timing modes,Nmap,has_a,timing modes
439,paranoid option,is_part_of,Nmap,paranoid option,is_part_of,Nmap
440,Nmap,uses,probe,Nmap,uses,probe
441,IP fragments,is_part_of,intrusion detection systems,IP fragments,is_part_of,intrusion detection systems
442,fragmentation assembly timeouts,can_analyze,platforms,fragmentation assembly timeouts,can_analyze,platforms
443,IDS,can_analyze,remote system,IDS,can_analyze,remote system
444,remote system,uses,packet,remote system,uses,packet
445,Nmap,can_analyze,bytes,Nmap,can_analyze,bytes
446,fragment,can_analyze,byte,fragment,can_analyze,byte
447,Fragmentation,has_a,Nmap�s,Fragmentation,has_a,Nmap�s
448,Nmap,can_analyze,raw packet,Nmap,can_analyze,raw packet
449,version detection,has_a,Nmap Scripting Engine,version detection,has_a,Nmap Scripting Engine
450,Nmap Scripting Engine,uses,fragmentation,Nmap Scripting Engine,uses,fragmentation
451,host,has_a,TCP stack,host,has_a,TCP stack
452,TCP stack,can_analyze,target services,TCP stack,can_analyze,target services
453,source,has_a,IP,source,has_a,IP
454,IP,is_part_of,Nmap,IP,is_part_of,Nmap
455,Nmap,uses,port scan,Nmap,uses,port scan
456,target,can_expose,spoofed,target,can_expose,spoofed
457,Nmap,has_a,responses,Nmap,has_a,responses
458,IDS,has_a,alarms,IDS,has_a,alarms
459,alarms,can_analyze,target,alarms,can_analyze,target
460,administrators,uses,IDS,administrators,uses,IDS
461,IDS,has_a,accuracy,IDS,has_a,accuracy
462,idle scan,can_analyze,spoofing,idle scan,can_analyze,spoofing
463,source,has_a,IP address,source,has_a,IP address
464,IP identification field,can_analyze,systems,IP identification field,can_analyze,systems
465,Nmap,has_a,reverse-DNS resolution,Nmap,has_a,reverse-DNS resolution
466,reverse-DNS resolution,has_a,responsive,reverse-DNS resolution,has_a,responsive
467,responsive,can_analyze,host,responsive,can_analyze,host
468,configured,can_analyze,machine,configured,can_analyze,machine
469,machine,has_a,Nmap,machine,has_a,Nmap
470,dns servers,has_a,Nmap,dns servers,has_a,Nmap
471,Nmap,has_a,DNS queries,Nmap,has_a,DNS queries
472,DNS queries,can_analyze,proxied,DNS queries,can_analyze,proxied
473,scanning,can_analyze,vulnerabilities,scanning,can_analyze,vulnerabilities
